,code,airport_name,city,state
0,01A, Afognak Lake Airport,Afognak Lake, AK
1,03A, Bear Creek Mining Strip,Granite Mountain, AK
2,04A, Lik Mining Camp,Lik, AK
3,05A, Little Squaw Airport,Little Squaw, AK
4,06A, Kizhuyak Bay,Kizhuyak, AK
5,07A, Klawock Seaplane Base,Klawock, AK
6,08A, Elizabeth Island Airport,Elizabeth Island, AK
7,09A, Augustin Island,Homer, AK
8,1B1, Columbia County,Hudson, NY
9,1G4, Grand Canyon West,Peach Springs, AZ
10,1N7, Blairstown Airport,Blairstown, NJ
11,1NY, Penn Yan Airport,Penn Yan, NY
12,2NY, Sands Point Seaplane Base,Port Washington, NY
13,6B0, Middlebury State,Middlebury, VT
14,7AK, Akun Airport,Akun, AK
15,8F3, Crosbyton Municipal,Crosbyton, TX
16,A01, Blair Lake,Fairbanks/Ft. Wainwright, AK
17,A02, Deadmans Bay Airport,Deadmans Bay, AK
18,A03, Hallo Bay Airport,Hallo Bay, AK
19,A04, Red Lake Airport,Red Lake, AK
20,A05, Shell Lake Airport,Shell Lake, AK
21,A06, Navigator Airstrip,Kougarok, AK
22,A07, Roland Norton Memorial,Selawik, AK
23,A08, Pillar Bay Airport,Pillar Bay, AK
24,A09, Johnstone Point Airport,Johnstone Point, AK
25,A11, Bell Creek Airport,Bell Creek, AK
26,A12, Cinnabar Airport,Cinnabar, AK
27,A13, Mountaintop Mine Airport,Mountaintop Mine, AK
28,A14, Whitebear Airport,Whitebear, AK
29,A15, Puviaq Airport,Puviaq, AK
30,A16, Arley Lake Airport,Arley Lake, AK
31,A17, Port Vita Airport,Port Vita, AK
32,A18, Kantishna Airport,Kantishna, AK
33,A1K, Point Thomson Airstrip,Deadhorse1, AK
34,A1L, Cullman Regional Folsom Field,Cullman, AL
35,A20, Alpine Airstrip,Alpine, AK
36,A21, Serpentine Airport,Serpentine, AK
37,A22, Driftwood Bay Airport,Driftwood Bay, AK
38,A23, Bradley Lake Airport,Bradley Lake, AK
39,A24, Chilkat Lake Airport,Chilkat Lake, AK
40,A25, Nugget Creek Airport,Nugget Creek, AK
41,A26, Ivotuk Airstrip,Ivotuk, AK
42,A27, Pogo Mines Airport,Pogo Mines, AK
43,A28, Ayakulik River Airport,Ayakulik River, AK
44,A29, Kiluda Bay Airport,Kiluda Bay, AK
45,A2K, Bartletts Airport,Bartletts, AK
46,A2L, Isbell Field,Fort Payne, AL
47,A30, Terror Lake Airport,Terror Lake, AK
48,A31, Selief Bay Airport,Selief Bay, AK
49,A34, Laura Lake Airport,Laura Lake, AK
50,A35, Bullen Point AFS,Kaktovik, AK
51,A36, Deep Bay Airport,Deep Bay, AK
52,A37, Kako Airport,Kako, AK
53,A38, Molly Creek Airport,Molly Creek, AK
54,A39, Ptarmigan Lake Airport,Ptarmigan Lake, AK
55,A3K, Smith Bay Airport,Smith Bay, AK
56,A40, Cape Simpson Airport,Cape Simpson, AK
57,A41, Kogru River Airport,Kogru River, AK
58,A42, Teshepkuk Lake Airport,Teshepkuk Lake, AK
59,A43, Trident Basin Seaplane Base,Kodiak Island, AK
60,A45, Lake Florence Airport,Lake Florence, AK
61,A46, Lake Hasselborg Airport,Lake Hasselborg, AK
62,A47, Distin Lake Airport,Distin Lake, AK
63,A48, Port Hobron Airport,Port Hobron, AK
64,A49, Mooseville Airstrip Airport,Mooseville Airstrip, AK
65,A4K, Dune Lake Airport,Dune Lake, AK
66,A50, Big Bay Airport,Big Bay, AK
67,A51, Wien Lake Airport,Wien Lake, AK
68,A52, Silver Salmon Creek Airport,Silver Salmon Creek, AK
69,A53, Blear Lake Airport,Blear Lake, AK
70,A54, Cannery Bay Airport,Cannery Bay, AK
71,A56, Johnsons Landing,Bear Lake, AK
72,A57, International Seafoods Airport,International Seafoods, AK
73,A58, Cosna River Airport,Cosna River, AK
74,A59, Ivatuk Airport,Ivatuk, AK
75,A5K, Paxson Airport,Paxson, AK
76,A61, Cape Sarichef Airport,Cape Sarichef, AK
77,A62, Taylor Mountain,Taylor Mountain Mine, AK
78,A63, Coal Creek,Yukon Charley Rivvers, AK
79,A65, Karluk Portage Airport,Karluk Portage, AK
80,A66, Hope Airport,Hope, AK
81,A67, Viekoda Bay Airport,Viekoda Bay, AK
82,A69, Cathedral Strip,Cold Bay, AK
83,A6K, Van Curlers Sandbar,Fairbanks1, AK
84,A70, Village Islands Airport,Village Islands, AK
85,A71, Bear Cove Farm,Homer, AK
86,A72, Chinitna Bay Airport,Chinitna Bay, AK
87,A73, McKinley National Park,McKinley Park, AK
88,A74, Dog Fish Bay,Nanwalek, AK
89,A75, Malina Bay Airport,Malina Bay, AK
90,A76, Red Fox Bay Airport,Red Fox Bay, AK
91,A77, Shearwater Airport,Shearwater, AK
92,A78, Lake,Cape Simpson, AK
93,A79, Cape Simpson No. 1,Cape Simpson, AK
94,A7K, Nakochna Airport,Nakochna, AK
95,A80, Cape Simpson No. 7,Cape Simpson, AK
96,A81, Cape Simpson #1,Aglaq, AK
97,A82, Nikiski Private Airstrip,Nikiski, AK
98,A83, Petrof Point Airport,Petrof Point, AK
99,A84, Denali West Lodge Private,Denali, AK
100,A85, Big River Airport,Big River, AK
101,A87, Carry Inlet Airport,Carry Inlet, AK
102,A89, Montague Island Airport,Montague Island, AK
103,A90, Shannon Pond Airport,Shannon Pond, AK
104,A91, Omalik Lagoon Airport,Omalik Lagoon, AK
105,A92, Omolik Lagoon Airport,Omolik Lagoon, AK
106,A93, Bradley Lake Project Airport,Bradley Lake Project, AK
107,A94, Ice Strip,Barrow, AK
108,A95, Ice Strip,Barrow, AK
109,A96, Ice Strip,Barrow, AK
110,A97, Akulik Air Strip,Akulik, AK
111,A98, Deadfall Air Strip,Deadfall, AK
112,A99, Eagle Creek Airport,Eagle Creek, AK
113,AA1, Ice Kong,Bethel, AK
114,AA2, Icicle Seafoods,Naknek-1, AK
115,AA4, Glacier Split,Kachemak Bay, AK
116,AA5, Selby Lake Airport,Selby Lake, AK
117,AA7, Independence Creek Airport,Independence Creek, AK
118,AA8, Badami,Deadhorse, AK
119,AA9, Napaimute Pioneer Airfield,Napaimute, AK
120,AAA, Anaa Airport,Anaa, French Polynesia
121,AAB, Arrabury Station,Arrabury, Australia
122,AAC, El Arish International,El Arish, Egypt
123,AAD, Ad-Dabbah Airport,Ad-Dabbah, Sudan
124,AAE, Rabah Bitat,Annaba, Algeria
125,AAF, Apalachicola Regional Cleve Randolph Field,Apalachicola, FL
126,AAH, Aachen Merzbrueck,Aachen, Germany
127,AAI, Arraias Airport,Arraias, Brazil
128,AAL, Aalborg Airport,Aalborg, Denmark
129,AAM, Malamala,Mala Mala, South Africa
130,AAN, Al Ain International,Al Ain, United Arab Emirates
131,AAO, Anaco Airport,Anaco, Venezuela
132,AAQ, Vityazevo,Anapa, Russia
133,AAR, Aarhus Airport,Aarhus, Denmark
134,AAU, Asau W Sam,Asau, Samoa
135,AAX, Araxa Airport,Araxa, Brazil
136,ABA, Abakan Airport,Abakan, Russia
137,ABD, Abadan Airport,Abadan, Iran
138,ABE, Lehigh Valley International,Allentown/Bethlehem/Easton, PA
139,ABI, Abilene Regional,Abilene, TX
140,ABJ, Felix Houphouet Boigny Abidjan International,Abidjan, Cote d'Ivoire
141,ABK, Kebri Dahar,Kabri Dar, Ethiopia
142,ABL, Ambler River,Ambler, AK
143,ABQ, Albuquerque International Sunport,Albuquerque, NM
144,ABR, Aberdeen Regional,Aberdeen, SD
145,ABS, Abu Simbel Airport,Abu Simbel, Egypt
146,ABT, King Saud Bin Abdulaziz,Al-Baha, Saudi Arabia
147,ABV, Nnamdi Azikiwe International,Abuja, Nigeria
148,ABX, Albury Airport,Albury, Australia
149,ABY, Southwest Georgia Regional,Albany, GA
150,ABZ, Aberdeen Dyce,Aberdeen, United Kingdom
151,ACA, General Juan N Alvarez International,Acapulco, Mexico
152,ACB, Antrim County,Bellaire, MI
153,ACC, Accra Kotoka International,Accra, Ghana
154,ACE, Lanzarote,Arrecife, Spain
155,ACH, St Gallen Altenrhein,Altenrhein, Switzerland
156,ACI, Alderney Airport,Alderney, United Kingdom
157,ACK, Nantucket Memorial,Nantucket, MA
158,ACT, Waco Regional,Waco, TX
159,ACU, Achutupo Airport,Achutupo, Panama
160,ACV, California Redwood Coast Humboldt County,Arcata/Eureka, CA
161,ACY, Atlantic City International,Atlantic City, NJ
162,ADA, Adana International,Adana, Turkey
163,ADB, Adnan Menderes,Izmir, Turkey
164,ADC, Andakombe Airport,Andakombe, Papua New Guinea
165,ADD, Bole International,Addis Ababa, Ethiopia
166,ADE, Aden International,Aden, Yemen
167,ADJ, Marka International,Amman, Jordan
168,ADK, Adak,Adak Island, AK
169,ADL, Adelaide International,Adelaide, Australia
170,ADM, Ardmore Municipal,Ardmore, OK
171,ADN, Andes Airport,Andes, Colombia
172,ADO, Andamooka Airport,Andamooka, Australia
173,ADQ, Kodiak Airport,Kodiak, AK
174,ADS, Addison,Dallas, TX
175,ADT, Ada Regional,Ada, OK
176,ADW, Joint Base Andrews,Camp Springs, MD
177,ADX, RAF Leuchars,St Andrews, United Kingdom
178,ADZ, Gustavo Rojas Pinilla,San Andres Island, Colombia
179,AE1, Liwa Airbase,Liwa, United Arab Emirates
180,AE2, Sweihan Airbase,Sweihan, United Arab Emirates
181,AED, Aleneva Airport,Aleneva, AK
182,AEG, Aek Godang,Padang Sidempuan, Indonesia
183,AEH, Abeche Airport,Abeche, Chad
184,AEO, Aioun El Atrouss Airport,Aioun El Atrouss, Mauritania
185,AEP, Aeroparque Jorge Newbery,Buenos Aires, Argentina
186,AER, Adler/Sochi Airport,Adler/Sochi, Russia
187,AES, Vigra,Aalesund, Norway
188,AET, Allakaket Airport,Allakaket, AK
189,AEX, Alexandria International,Alexandria, LA
190,AEY, Akureyri Airport,Akureyri, Iceland
191,AF1, Bagram Air Base,Bagram, Afghanistan
192,AF2, Bastion Airfield,Lashkar Gah, Afghanistan
193,AF3, Dwyer Airport,Dwyer, Afghanistan
194,AF4, Shindand Airport,Shindand, Afghanistan
195,AFA, San Rafael Airport,San Rafael, Argentina
196,AFF, USAF Academy Airfield,Colorado Springs, CO
197,AFK, Nebraska City Municipal,Nebraska, NE
198,AFO, Afton Municipal,Afton, WY
199,AFP, Anson County Jeff Cloud Field,Wadesboro, NC
200,AFU, Al Udeid Air Base,Doha, Qatar
201,AFW, Fort Worth Alliance,Dallas/Fort Worth, TX
202,AFY, Afyon Airport,Afyon, Turkey
203,AGA, Inezgane,Agadir, Morocco
204,AGB, Augsburg Airport,Augsburg, Germany
205,AGC, Allegheny County,Pittsburgh, PA
206,AGF, Agen La Garenne,Agen, France
207,AGG, Angoram Airport,Angoram, Papua New Guinea
208,AGH, Angelholm,Angelholm/Helsingborg, Sweden
209,AGK, Kagua Airport,Kagua, Papua New Guinea
210,AGL, Wanigela Airport,Wanigela, Papua New Guinea
211,AGN, Angoon Seaplane Base,Angoon, AK
212,AGP, Malaga Airport,Malaga, Spain
213,AGQ, Agrinion Airport,Agrinion, Greece
214,AGR, Agra Airport,Agra, India
215,AGS, Augusta Regional at Bush Field,Augusta, GA
216,AGT, Guarani International,Ciudad del Este, Paraguay
217,AGU, Jesus Teran International,Aguascalientes, Mexico
218,AGV, Oswaldo Guevara Mujica,Acarigua, Venezuela
219,AGX, Agatti Island Airport,Agatti Island, India
220,AHA, Naha AB,Okinawa, Japan
221,AHB, Abha Airport,Abha, Saudi Arabia
222,AHD, Ardmore Downtown Executive,Ardmore, OK
223,AHN, Athens/Ben Epps,Athens, GA
224,AHO, Alghero,Alghero/Sassari, Italy
225,AHS, Auas,Ahuas, Honduras
226,AHT, Amchitka,Amchitka Island, AK
227,AHU, Cherif El Idrissi International,Al Hoceima, Morocco
228,AIA, Alliance Municipal,Alliance, NE
229,AIB, Anita Bay Airport,Anita Bay, AK
230,AID, Anderson Municipal-Darlington Field,Anderson, IN
231,AIK, Aiken Municipal,Aiken, SC
232,AIN, Wainwright Airport,Wainwright, AK
233,AIT, Aitutaki Airport,Aitutaki, Cook Islands
234,AIY, Bader Field,Atlantic City, NJ
235,AIZ, Lee C Fine Memorial,Lake of the Ozarks, MO
236,AJA, Ajaccio Napoleon Bonaparte,Ajaccio, France
237,AJF, Al Jouf,Jouf, Saudi Arabia
238,AJJ, Akjoujt Airport,Akjoujt, Mauritania
239,AJL, Lengpui,Aizwal, India
240,AJN, Ouani,Anjouan, Comoros
241,AJR, Arvidsjaur Airport,Arvidsjaur, Sweden
242,AJU, Santa Maria,Aracaju, Brazil
243,AJY, Mano Dayak,Agades, Niger
244,AK1, Kelly Creek Airstrip,Seward Peninsula, AK
245,AK2, Bear Fish Camp Airport,Bear Fish Camp, AK
246,AK3, Gold King Creek,Fairbanks, AK
247,AK4, Squaw Lake Airport,Squaw Lake, AK
248,AK5, Qugruc Airport,Qugruc, AK
249,AK6, Gold King 2 Airport,Gold King 2, AK
250,AK7, Hunter Creek,Rampart, AK
251,AK8, Zips Airport,Zips, AK
252,AK9, Tolstoi Bay Airport,Tolstoi Bay, AK
253,AKB, Atka Airport,Atka, AK
254,AKC, Akron Fulton International,Akron, OH
255,AKF, Kufra,Kufrah, Libya
256,AKH, Prince Sultan AB,Al Kharj, Saudi Arabia
257,AKI, Akiak Airport,Akiak, AK
258,AKJ, Asahikawa Airport,Asahikawa, Japan
259,AKK, Akhiok Airport,Akhiok, AK
260,AKL, Auckland International,Auckland, New Zealand
261,AKN, King Salmon Airport,King Salmon, AK
262,AKO, Colorado Plains Regional,Akron, CO
263,AKP, Anaktuvuk Pass Airport,Anaktuvuk Pass, AK
264,AKR, Akure Airport,Akure, Nigeria
265,AKS, Auki Airport,Auki, Solomon Islands
266,AKT, Akrotiri Airport,Akrotiri, Cyprus
267,AKX, Aktyubinsk Airport,Aktyubinsk, Kazakhstan
268,AKY, Sittwe Airport,Sittwe, Burma
269,AL1, Albertville Regional-Thomas J Brumlik Field,Albertville, AL
270,AL2, Shelby County,Alabaster, AL
271,AL3, Huntsville Executive Airport Tom Sharp Jr,Huntsville, AL
272,AL4, South Alabama Regional at Bill Benton Field,Andalusia/Opp, AL
273,AL5, Demopolis Regional,Demopolis, AL
274,AL6, H. L. Sonny Callahan,Fairhope, AL
275,AL7, Walker County Bevill Field,Jasper, AL
276,AL8, Scottsboro Municipal Word Field,Scottsboro, AL
277,AL9, Merkel Field Sylacauga Municipal,Sylacauga, AL
278,ALA, Almaty Airport,Almaty, Kazakhstan
279,ALB, Albany International,Albany, NY
280,ALC, Alicante Elche,Alicante, Spain
281,ALE, Alpine Casparis Municipal,Alpine, TX
282,ALF, Alta Airport,Alta, Norway
283,ALG, Houari Boumediene,Algiers, Algeria
284,ALH, Albany Airport,Albany, Australia
285,ALI, Alice International,Alice, TX
286,ALJ, Alexander Bay Airport,Alexander Bay, South Africa
287,ALK, Asela Airport,Asela, Ethiopia
288,ALM, Alamogordo White Sands Regional,Alamogordo, NM
289,ALN, St. Louis Regional,Alton, IL
290,ALO, Waterloo Regional,Waterloo, IA
291,ALP, Aleppo International,Aleppo, Syria
292,ALQ, Alegrete Airport,Alegrete, Brazil
293,ALR, Alexandra Airport,Alexandra, New Zealand
294,ALS, San Luis Valley Regional/Bergman Field,Alamosa, CO
295,ALT, Alenquer Airport,Alenquer, Brazil
296,ALU, Alula Airport,Alula, Somalia
297,ALW, Walla Walla Regional,Walla Walla, WA
298,ALX, Thomas C. Russell Field,Alexander City, AL
299,ALY, Alexandria International,Alexandria, Egypt
300,ALZ, Alitak Seaplane Base,Lazy Bay, AK
301,AMA, Rick Husband Amarillo International,Amarillo, TX
302,AMD, Ahmedabad Airport,Ahmedabad, India
303,AMF, Ama Airport,Ama, Papua New Guinea
304,AMG, Amboin Airport,Amboin, Papua New Guinea
305,AMH, Arba Minch Airport,Arba Minch, Ethiopia
306,AMI, Selaparang,Mataram, Indonesia
307,AMK, Animas Air Park,Durango, CO
308,AML, Puerto Armuelles Airport,Puerto Armuelles, Panama
309,AMM, Queen Alia International,Amman, Jordan
310,AMN, Gratiot Community,Alma, MI
311,AMO, Mao Airport,Mao, Chad
312,AMP, Ampanihy Airport,Ampanihy, Madagascar
313,AMQ, Pattimura,Ambon, Indonesia
314,AMS, Schiphol,Amsterdam, Netherlands
315,AMW, Ames Municipal,Ames, IA
316,AMX, Ammaroo Station,Ammaroo, Australia
317,AMY, Ambatomainty Airport,Ambatomainty, Madagascar
318,ANA, Anaheim-Disneyland HP,Anaheim, CA
319,ANB, Anniston Regional,Anniston, AL
320,ANC, Ted Stevens Anchorage International,Anchorage, AK
321,AND, Anderson Regional,Anderson, SC
322,ANE, Angers Marce,Angers, France
323,ANF, Andres Sabella International,Antofagasta, Chile
324,ANG, Angouleme Brie Champniers,Angouleme, France
325,ANI, Aniak Airport,Aniak, AK
326,ANK, Etimesgut,Ankara, Turkey
327,ANM, Antsirabato,Antalaha, Madagascar
328,ANN, Annette Island,Annette, AK
329,ANO, Angoche Airport,Angoche, Mozambique
330,ANP, Lee,Annapolis, MD
331,ANR, Deurne,Antwerp, Belgium
332,ANS, Andahuaylas Airport,Andahuaylas, Peru
333,ANU, V C Bird International,St. Johns, Antigua and Barbuda
334,ANV, Anvik Airport,Anvik, AK
335,ANX, Andoya,Andeness, Norway
336,AOH, Lima Allen County,Lima, OH
337,AOI, Ancona Falconara,Ancona, Italy
338,AOJ, Aomori Airport,Aomori, Japan
339,AOK, Karpathos Airport,Karpathos, Greece
340,AOL, Paso de Los Libres Airport,Paso de Los Libres, Argentina
341,AOO, Altoona-Blair County,Altoona, PA
342,AOR, Sultan Abdul Halim,Alor Setar, Malaysia
343,AOS, Amook Bay Airport,Amook Bay, AK
344,APA, Centennial,Denver, CO
345,APB, Apolo Airport,Apolo, Bolivia
346,APC, Napa County,Napa, CA
347,APE, San Juan Aposento Airport,San Juan Aposento, Peru
348,APF, Naples Municipal,Naples, FL
349,APG, Phillips AAF,Aberdeen, MD
350,APH, A P Hill AAF,Fort A P Hill, VA
351,API, Gomez Nino Apiay AB,Villavicencio, Colombia
352,APK, Apataki Airport,Apataki, French Polynesia
353,APL, Nampula Airport,Nampula, Mozambique
354,APN, Alpena County Regional,Alpena, MI
355,APO, Apartado Airport,Apartado, Colombia
356,APR, April River Airport,April River, Papua New Guinea
357,APT, Marion County Brown Field,Jasper, TN
358,APV, Apple Valley Airport,Apple Valley, CA
359,APW, Faleolo International,Apia, Samoa
360,AQI, Hafr Al Batin,Qaisumah, Saudi Arabia
361,AQJ, King Hussein International,Aqaba, Jordan
362,AQP, Rodriguez Ballon International,Arequipa, Peru
363,AQS, Saqani Airport,Saqani, Fiji
364,AQY, Girdwood Airport,Girdwood, AK
365,AR1, Russellville Regional,Russellville, AR
366,AR2, Dennis F Cantrell Field,Conway, AR
367,AR3, Bentonville Municipal Louise M Thaden Field,Bentonville, AR
368,ARA, Acadiana Regional,New Iberia, LA
369,ARB, Ann Arbor Municipal,Ann Arbor, MI
370,ARC, Arctic Village Airport,Arctic Village, AK
371,ARD, Arcadia Municipal,Alor, Indonesia
372,ARE, Antonio/Nery/Juarbe Pol,Arecibo, PR
373,ARG, Walnut Ridge Regional,Walnut Ridge, AR
374,ARH, Talagi,Arkhangelsk, Russia
375,ARI, Chacalluta,Arica, Chile
376,ARK, Arusha Airport,Arusha, Tanzania
377,ARM, Armidale Airport,Armidale, Australia
378,ARN, Arlanda,Stockholm, Sweden
379,ARP, Aragip Airport,Aragip, Papua New Guinea
380,ARQ, Arauquita Airport,Arauquita, Colombia
381,ARS, Aragarcas Airport,Aragarcas, Brazil
382,ART, Watertown International,Watertown, NY
383,ARU, Aracatuba Airport,Aracatuba, Brazil
384,ARV, Lakeland/Noble F. Lee Memorial Field,Minocqua/Woodruff, WI
385,ARW, Arad International,Arad, Romania
386,ARX, Asbury Park/Monmouth County,Asbury Park, NJ
387,ARY, Ararat Airport,Ararat, Australia
388,ARZ, N'zeto Airport,N'zeto, Angola
389,ASA, Assab International,Assab, Eritrea
390,ASB, Ashgabat Airport,Ashgabat, Turkmenistan
391,ASC, Ascension Airport,Ascension, Bolivia
392,ASD, Fresh Creek,Andros Town, The Bahamas
393,ASE, Aspen Pitkin County Sardy Field,Aspen, CO
394,ASF, Narimanova,Astrakhan , Russia
395,ASG, Ashburton Airport,Ashburton, New Zealand
396,ASH, Boire Field,Nashua, NH
397,ASI, Ascension Aux Af,Ascension Island," Saint Helena, Ascension, and Tristan da Cunha"
398,ASJ, Amami,Amami O Shima, Japan
399,ASK, Yamoussoukro Airport,Yamoussoukro, Cote d'Ivoire
400,ASL, Harrison County,Marshall, TX
401,ASM, Asmara International,Asmara, Eritrea
402,ASN, Talladega Municipal,Talladega, AL
403,ASO, Asosa Hidase,Asosa, Ethiopia
404,ASP, Alice Springs Airport,Alice Springs, Australia
405,ASQ, Austin Airport,Austin, NV
406,ASR, Kayseri Airport,Kayseri, Turkey
407,AST, Astoria Regional,Astoria/Seaside, OR
408,ASU, Silvio Pettirossi International,Asuncion, Paraguay
409,ASW, Aswan International,Aswan, Egypt
410,ASX, John F Kennedy Memorial,Ashland, WI
411,ASY, Ashley Municipal,Ashley, ND
412,ATA, Anta Huaraz,Anta, Peru
413,ATB, Atbara Airport,Atbara, Sudan
414,ATC, Arthur's Town Airport,Arthur's Town, The Bahamas
415,ATE, Antlers Municipal,Antlers, OK
416,ATH, Eleftherios Venizelos International,Athens, Greece
417,ATI, Artigas International,Artigas, Uruguay
418,ATK, Atqasuk Edward Burnell Sr. Memorial,Atqasuk, AK
419,ATL, Hartsfield-Jackson Atlanta International,Atlanta, GA
420,ATM, Altamira Airport,Altamira, Brazil
421,ATN, Namatanai Airport,Namatanai, Papua New Guinea
422,ATO, Ohio University,Athens, OH
423,ATP, Aitape Airport,Aitape, Papua New Guinea
424,ATQ, Amritsar International,Amritsar, India
425,ATR, Atar Airport,Atar, Mauritania
426,ATS, Artesia Municipal,Artesia, NM
427,ATT, Atmautluak Airport,Atmautluak, AK
428,ATU, Casco Cove CGS,Attu, AK
429,ATV, Ati Airport,Ati, Chad
430,ATW, Appleton International,Appleton, WI
431,ATY, Watertown Regional,Watertown, SD
432,ATZ, Assiut Airport,Assiut, Egypt
433,AU1, Scherger,Weipa, Australia
434,AUA, Reina Beatrix International,Aruba, Aruba
435,AUC, Santiago Perez,Arauca, Colombia
436,AUD, Augustus Downs Airport,Augustus Downs, Australia
437,AUG, Augusta State,Augusta/Waterville, ME
438,AUH, Abu Dhabi International,Abu Dhabi, United Arab Emirates
439,AUI, Aua Island Airport,Aua Island, Papua New Guinea
440,AUK, Alakanuk Airport,Alakanuk, AK
441,AUM, Austin Municipal,Austin/Albert Lea, MN
442,AUN, Auburn Municipal,Auburn, CA
443,AUO, Auburn University Regional,Auburn, AL
444,AUP, Aguan Papua N.G.,Aguan, Papua New Guinea
445,AUQ, Hiva Oa/Atuona,Atuona, French Polynesia
446,AUR, Aurillac Airport,Aurillac, France
447,AUS, Austin - Bergstrom International,Austin, TX
448,AUW, Wausau Downtown,Wausau, WI
449,AUX, Araguaina Airport,Araguaina, Brazil
450,AUY, Aneityum Airport,Aneityum, Vanuatu
451,AUZ, Aurora Municipal,Aurora, IL
452,AVB, Aviano AB,Aviano, Italy
453,AVI, Maximo Gomez,Ciego de Avila, Cuba
454,AVL, Asheville Regional,Asheville, NC
455,AVN, Avignon Caumont,Avignon, France
456,AVO, Avon Park Executive,Avon Park, FL
457,AVP, Wilkes Barre Scranton International,Scranton/Wilkes-Barre, PA
458,AVV, Avalon Airport,Avalon, Australia
459,AVW, Marana Regional,Tucson, AZ
460,AVX, Catalina,Avalon, CA
461,AWA, Lake Awasa,Awasa, Ethiopia
462,AWK, Wake Island Airfield,Wake Island, TT
463,AWM, West Memphis Municipal,West Memphis, AR
464,AWR, Awar Airport,Awar, Papua New Guinea
465,AWX, Andrews County,Andrews, TX
466,AWZ, Ahwaz Airport,Ahwaz, Iran
467,AXA, Clayton J Lloyd,The Valley, Anguilla
468,AXB, Maxson Airfield,Alexandria Bay, NY
469,AXC, Aramac Airport,Aramac, Australia
470,AXD, Dimokritos,Alexandroupolis, Greece
471,AXM, El Eden,Armenia, Colombia
472,AXN, Chandler Field,Alexandria, MN
473,AXP, Spring Point Airport,Spring Point, The Bahamas
474,AXS, Altus/Quartz Mountain Regional,Altus, OK
475,AXT, Akita Airport,Akita, Japan
476,AXU, Axum Atse Yohannes IV,Axum, Ethiopia
477,AXV, Neil Armstrong,Wapakoneta, OH
478,AXX, Angel Fire,Eagle Nest, NM
479,AYL, Anthony Lagoon Airport,Anthony Lagoon, Australia
480,AYP, Coronel FAP Alfredo Mendivil Duarte,Ayacucho, Peru
481,AYQ, Ayers Rock Connellan,Ayers Rock, Australia
482,AYR, Ayr Airport,Ayr, Australia
483,AYS, Waycross-Ware County,Waycross, GA
484,AYT, Antalya Airport,Antalya, Turkey
485,AYW, Ayawasi Airport,Ayawasi, Indonesia
486,AZ1, Valle,Grand Canyon, AZ
487,AZ2, H. A. Clark Memorial Field,Williams, AZ
488,AZ3, Glendale Municipal,Glendale, AZ
489,AZ4, Sheepy Hollow Ranch,Salome, AZ
490,AZ5, Springerville Municipal,Springerville, AZ
491,AZ6, Gila Bend Municipal,Gila Bend, AZ
492,AZA, Phoenix - Mesa Gateway,Phoenix, AZ
493,AZD, Shahid Sadooghi,Yazd, Iran
494,AZG, Pablo L. Sidar,Apatzingan, Mexico
495,AZI, Al Bateen Executive,Abu Dhabi, United Arab Emirates
496,AZO, Kalamazoo/Battle Creek International,Kalamazoo, MI
497,AZS, El Catey International,Samana, Dominican Republic
498,B19, Biddeford Municipal,Biddeford, ME
499,B1C, Blackfish Lodge,Baker Island, Canada
500,B21, Sugarloaf Regional,Carrabassett, ME
501,B2C, Blind Channel Water Aerodrome,Blind Channel, Canada
502,B3C, Minstrel Island Water Aerodrome,Minstrel Island, Canada
503,B4C, Simoom Sound Water Aerodrome,Simoom Sound, Canada
504,BAA, Bialla Airport,Bialla, Papua New Guinea
505,BAB, Beale AFB,Marysville, CA
506,BAC, Barranca de Upia Airport,Barranca de Upia, Colombia
507,BAD, Barksdale AFB,Shreveport, LA
508,BAE, Barcelonnette Airport,Barcelonnette, France
509,BAF, Westfield Barnes Regional,Westfield, MA
510,BAG, Baguio Airport,Baguio, Philippines
511,BAH, Bahrain International,Manama, Bahrain
512,BAI, Buenos Aires Airport,Buenos Aires, Costa Rica
513,BAK, Baku Metropolitan Area,Baku, Azerbaijan
514,BAL, Batman Airport,Batman, Turkey
515,BAM, Battle Mountain Airport,Battle Mountain, NV
516,BAO, Udorn AB,Ban Mak Khaeng, Thailand
517,BAQ, Ernesto Cortissoz,Barranquilla, Colombia
518,BAR, Baker AAF,Baker Island, AK
519,BAT, Chafei Amsei,Barretos, Brazil
520,BAU, Bauru-Arealva,Bauru, Brazil
521,BAV, Baotou Airport,Baotou, China
522,BAX, Mikhaylovka,Barnaul, Russia
523,BAY, Maramures,Baia Mare, Romania
524,BAZ, Barcelos Airport,Barcelos, Brazil
525,BBA, Balmaceda Airport,Balmaceda, Chile
526,BBC, Bay City Regional,Bay City, TX
527,BBD, Curtis Field,Brady, TX
528,BBF, N Eng Heliport,Burlington, MA
529,BBH, Al-Baha Airport,Al-Baha, Saudi Arabia
530,BBI, Bhubaneswar Airport,Bhubaneswar, India
531,BBK, Kasane,Kasane North West, Botswana
532,BBO, Berbera International,Berbera, Somalia
533,BBQ, Cocoa Point,Barbuda, Antigua and Barbuda
534,BBR, Baillif,Basse Terre, Guadeloupe
535,BBS, Blackbushe Airport,Blackbushe, United Kingdom
536,BBT, Berberati Airport,Berberati, Central African Republic
537,BBU, Baneasa Aurel Vlaicu,Bucharest, Romania
