,code,airport_name,city,state
3540,MOQ, Morondava Airport,Morondava, Madagascar
3541,MOR, Moore-Murrell,Morristown, TN
3542,MOS, Moses Point Airport,Moses Point, AK
3543,MOT, Minot International,Minot, ND
3544,MOU, Mountain Village Airport,Mountain Village, AK
3545,MOV, Moranbah Airport,Moranbah, Australia
3546,MOW, Moscow Metropolitan Area,Moscow, Russia
3547,MOY, Monterrey Airport,Monterrey, Colombia
3548,MOZ, Temae,Moorea Island, French Polynesia
3549,MPB, Watson Island International,Miami, FL
3550,MPE, Griswold,Madison, CT
3551,MPI, Mamitupo Airport,Mamitupo, Panama
3552,MPJ, Petit Jean Park,Morrilton, AR
3553,MPK, Mokpo Airport,Mokpo, South Korea
3554,MPL, Montpellier Mediterranee,Montpellier, France
3555,MPM, Maputo Airport,Maputo, Mozambique
3556,MPN, Mount Pleasant Airport,Mount Pleasant, Falkland Islands (Islas Malvinas)
3557,MPO, Pocono Mountains Municipal,Mt. Pocono, PA
3558,MPR, McPherson Airport,McPherson, KS
3559,MPS, Mount Pleasant Municipal,Mount Pleasant, TX
3560,MPT, Maliana Airport,Maliana, Timor-Leste
3561,MPV, Edward F Knapp State,Montpelier/Barre, VT
3562,MPX, Miyanmin Airport,Miyanmin, Papua New Guinea
3563,MQB, Macomb Municipal,Macomb, IL
3564,MQI, Quincy Airport,Quincy, MA
3565,MQJ, Indianapolis Regional,Indianapolis, IN
3566,MQL, Mildura Airport,Mildura, Australia
3567,MQM, Mardin Airport,Mardin, Turkey
3568,MQN, Rossvoll,Mo I Rana, Norway
3569,MQP, Kruger Mpumalanga International,Nelspruit, South Africa
3570,MQQ, Moundou Airport,Moundou, Chad
3571,MQS, Mustique Airport,Mustique, Saint Vincent and the Grenadines
3572,MQT, Sawyer International,Marquette, MI
3573,MQX, Mek'ele Airport,Mek'ele, Ethiopia
3574,MQY, Smyrna Airport,Smyrna, TN
3575,MRA, Misrata International,Misurata, Libya
3576,MRB, Eastern WV Regional/Shepherd Field,Martinsburg, WV
3577,MRC, Maury County,Columbia, TN
3578,MRD, Alberto Carnevalli,Merida, Venezuela
3579,MRF, Marfa Municipal,Marfa, TX
3580,MRH, Beaufort Morehead City,Morehead City, NC
3581,MRI, Merrill Field,Anchorage, AK
3582,MRK, Marco Island Airport,Marco Island, FL
3583,MRN, Morganton Lenoir,Morganton, NC
3584,MRO, Masterton Airport,Masterton, New Zealand
3585,MRQ, Marinduque Airport,Marinduque, Philippines
3586,MRS, Marseille Provence,Marseille, France
3587,MRU, Sir Seewoosagur Ramgoolam International,Mauritius Island, Mauritius
3588,MRV, Mineralnyye Vody Airport,Mineralnyye Vody, Russia
3589,MRX, Del Caribe International,Margarita Island, Venezuela
3590,MRY, Monterey Regional,Monterey, CA
3591,MRZ, Moree Airport,Moree, Australia
3592,MS1, Grenada Municipal,Grenada, MS
3593,MS2, Picayune Municipal,Picayune, MS
3594,MS3, Philadelphia Municipal,Philadelphia, MS
3595,MS4, Panola County,Batesville, MS
3596,MSA, Muskrat Dam Airport,Muskrat Dam, Canada
3597,MSC, Falcon Field,Mesa, AZ
3598,MSE, Manston Airport,Manston, United Kingdom
3599,MSH, Masirah Airport,Masirah, Oman
3600,MSJ, Misawa AB,Misawa, Japan
3601,MSL, Northwest Alabama Regional,Muscle Shoals, AL
3602,MSN, Dane County Regional-Truax Field,Madison, WI
3603,MSO, Missoula International,Missoula, MT
3604,MSP, Minneapolis-St Paul International,Minneapolis, MN
3605,MSQ, Minsk 2,Minsk, Belarus
3606,MSR, Munster/Osnabruck International,Greven, West Germany
3607,MSS, Massena International-Richards Field,Massena, NY
3608,MST, Maastricht Aachen,Maastricht, Netherlands
3609,MSU, Moshoeshoe I International,Maseru, Lesotho
3610,MSV, Sullivan County International,Monticello, NY
3611,MSW, Massawa International,Massawa, Eritrea
3612,MSY, Louis Armstrong New Orleans International,New Orleans, LA
3613,MSZ, Yuri Gagarin,Namibe, Angola
3614,MT1, Colstrip Airport,Colstrip, MT
3615,MT2, Three Forks Airport,Three Forks, MT
3616,MTC, Selfridge Angb,Mt. Clemens, MI
3617,MTD, Mount Sanford Station,Mt. Sandford, Australia
3618,MTE, Monte Alegre Airport,Monte Alegre, Brazil
3619,MTH, The Florida Keys Marathon International,Marathon, FL
3620,MTJ, Montrose Regional,Montrose/Delta, CO
3621,MTL, Maitland Airport,Maitland, Australia
3622,MTM, Metlakatala,Metlakatla, AK
3623,MTN, Martin State,Baltimore, MD
3624,MTO, Coles County Memorial,Mattoon/Charleston, IL
3625,MTP, Sky Portal,Montauk Point, NY
3626,MTR, Los Garzones,Monteria, Colombia
3627,MTS, Matsapha,Manzini, Swaziland
